run_name,lr,entropy_coef,kl_coef,group_size,avg_train_reward_last5,max_train_reward,final_eval_reward
HalfCheetah-v4_grpo_hpo30_lr0p0003_ent0p0_kl_5e-05_gro64_normal,0.0003,0.0,,64,-362.00442639822023,-362.00442639822023,-116.12
HalfCheetah-v4_grpo_hpo26_lr0p0003_ent0p0_kl_0p001_gro64_normal,0.0003,0.0,,64,-362.00442639822023,-362.00442639822023,-119.12
HalfCheetah-v4_grpo_hpo24_lr0p0003_ent1e-05_kl_0p0_gro64_normal,0.0003,1e-05,,64,-362.00442639822023,-362.00442639822023,-119.56
HalfCheetah-v4_grpo_hpo2_lr0p0003_ent0p001_kl_0p001_gro64_normal,0.0003,0.001,,64,-362.00442639822023,-362.00442639822023,-120.57
HalfCheetah-v4_grpo_hpo16_lr0p0003_ent0p0001_kl_0p0_gro64_normal,0.0003,0.0001,,64,-362.00442639822023,-362.00442639822023,-120.81
HalfCheetah-v4_grpo_hpo12_lr0p0003_ent0p0001_kl_0p0001_gro64_normal,0.0003,0.0001,,64,-362.00442639822023,-362.00442639822023,-120.89
HalfCheetah-v4_grpo_hpo6_lr0p0003_ent0p001_kl_5e-05_gro64_normal,0.0003,0.001,,64,-362.00442639822023,-362.00442639822023,-121.91
HalfCheetah-v4_grpo_hpo28_lr0p0003_ent0p0_kl_0p0001_gro64_normal,0.0003,0.0,,64,-362.00442639822023,-362.00442639822023,-123.24
HalfCheetah-v4_grpo_hpo10_lr0p0003_ent0p0001_kl_0p001_gro64_normal,0.0003,0.0001,,64,-362.00442639822023,-362.00442639822023,-123.43
HalfCheetah-v4_grpo_hpo32_lr0p0003_ent0p0_kl_0p0_gro64_normal,0.0003,0.0,,64,-362.00442639822023,-362.00442639822023,-123.92
HalfCheetah-v4_grpo_hpo22_lr0p0003_ent1e-05_kl_5e-05_gro64_normal,0.0003,1e-05,,64,-362.00442639822023,-362.00442639822023,-124.68
HalfCheetah-v4_grpo_hpo83_lr5e-05_ent1e-05_kl_0p0001_gro32_normal,5e-05,1e-05,,32,-365.3429413965684,-365.3429413965684,-125.97
HalfCheetah-v4_grpo_hpo8_lr0p0003_ent0p001_kl_0p0_gro64_normal,0.0003,0.001,,64,-362.00442639822023,-362.00442639822023,-125.97
HalfCheetah-v4_grpo_hpo93_lr5e-05_ent0p0_kl_5e-05_gro32_normal,5e-05,0.0,,32,-365.3429413965684,-365.3429413965684,-126.32
